id;artist;title
cdc1c518-b5ad-4152-8f45-8731df2796da;Handmade Hat;Buckinghamshire
2743e411-f452-4117-805a-19a2413bd412;Consultant;Lats
be505877-97d2-4920-8fdd-e7e055047c99;Market Florida;Central Lead Technician
b0dd16a7-9504-42a3-b1b9-53d5c86f84f2;firewall;National
48fb6275-c7b0-45a8-ae5e-afebc58dc78c;composite;hacking uniform Berkshire
4ec9db9a-4ab4-451d-a35c-37f2ca4a7147;Investment capacity SMS;calculating synthesizing Cambridgeshire
3186a6fa-a68c-436a-b583-83527a25fc5b;Bypass Avon Account;Multi-tiered heuristic
8006aba6-22eb-4938-b544-67fe5149722e;Checking;Baby gold
4f61dbff-b96a-4434-a508-1d5afb38e458;Inlet Operations Executive;XSS Functionality multi-tasking
cda5f0a8-80b7-4850-962c-ba16087be59c;disintermediate hacking Iowa;Open-architected
